Account Number,name,age,aadhar,phone number,account type
4211786820,Nicole Machado,45,23424,67586757,Savings,
4143083242,Amrutha Palathara,31,343754656,695675454,Current,
6695438007,Binumol George,56,124356,9876543,Savings,
2281980190,Trikalagga Saha,26,443433267,7476567,Savings,
1038009424,Mareen Biju,69,6234538,74599698,Current,
0244440032,Kelly Kapoor,37,34657438,34857,Current,
6842081605,Jyosna Philip,21,5424577,8765634,Savings,
9483740675,Raveena Tandon,29,4345354,236456574597,Current,
7694476369,Anushka Shetty,49,3896454837,346788394,Current,
3252465208,Sara Wilson,32,6734586374,38659483,Current,
